127.0.0.1 - - [16/Aug/2020:13:37:11 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:45 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:45 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:46 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:46 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:51 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:51 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:51 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:51 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:55 +0200] "GET /AdminLWSNIApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:55 +0200] "GET /AdminLWSNIApp/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:37:57 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:38:03 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:38:03 +0200] "POST /AdminLWSNIApp/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - admin [16/Aug/2020:13:38:03 +0200] "GET /AdminLWSNIApp/ HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - admin [16/Aug/2020:13:38:19 +0200] "GET /AdminLWSNIApp/api/article HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:38:31 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:38:31 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Aug/2020:13:38:31 +0200] "-" 400 -
